,T,sigma,K,r,model,Model Price,Binomial Price,Lower,Upper,Absolute Error,Relative Error
37,0.25,0.25,90,0.01,random forest,251.17105649156088,11.481384022646221,135.2754213042827,367.06669167883905,239.68967246891467,2087.63744855275
38,0.25,0.25,90,0.01,xgboost,293.01336480105556,11.481384022646221,168.0738636247103,417.95286597740085,281.5319807784093,2452.0735498708805
39,0.25,0.25,90,0.01,mlp,122.99101556712372,11.481384022646221,31.005843718122335,214.97618741612513,111.5096315444775,971.2211639688439
40,0.25,0.25,90,0.03,poly,139.2100920155013,11.833938135976057,29.66698228396119,248.75320174704137,127.37615387952523,1076.3631887874435
41,0.25,0.25,90,0.03,random forest,250.8311132035042,11.833938135976057,136.35940021811808,365.3028261888903,238.99717506752813,2019.5912157167602
42,0.25,0.25,90,0.03,xgboost,293.0914347034334,11.833938135976057,168.1448313149242,418.03803809194255,281.25749656745734,2376.7024411967604
43,0.25,0.25,90,0.03,mlp,130.94033330476478,11.833938135976057,38.058056351521756,223.82261025800778,119.10639516878872,1006.4814755681068
44,0.25,0.25,90,0.05,poly,139.24790368300256,12.189616900755329,29.699190934359336,248.7966164316458,127.05828678224724,1042.3484824561965
45,0.25,0.25,90,0.05,random forest,250.77642717553562,12.189616900755329,135.24420153629336,366.3086528147779,238.58681027478028,1957.295395066897
46,0.25,0.25,90,0.05,xgboost,293.16858811503306,12.189616900755329,168.2149146072336,418.1222616228325,280.97897121427775,2305.0681042885517
47,0.25,0.25,90,0.05,mlp,130.96278040693028,12.189616900755329,38.079850431776464,223.8457103820841,118.77316350617495,974.3797895634865
48,0.25,0.25,100,0.01,poly,133.66037705069172,5.089515463010303,24.257507492291936,243.0632466090915,128.5708615876814,2526.190607379261
49,0.25,0.25,100,0.01,random forest,248.81743961709876,5.089515463010303,127.03627153406279,370.5986077001347,243.72792415408844,4788.823728416974
50,0.25,0.25,100,0.01,xgboost,283.8975752240375,5.089515463010303,159.03595007553474,408.75920037254025,278.8080597610272,5478.086505235219
51,0.25,0.25,100,0.01,mlp,121.82246143725648,5.089515463010303,30.293801628876025,213.35112124563693,116.73294597424618,2293.596449851475
52,0.25,0.25,100,0.03,poly,134.20340644081273,5.331301813565619,24.809597543590527,243.5972153380349,128.8721046272471,2417.2727250092853
53,0.25,0.25,100,0.03,random forest,249.6800731179557,5.331301813565619,129.07441389300038,370.285732342911,244.34877130439006,4583.285280954064
54,0.25,0.25,100,0.03,xgboost,283.98436069789545,5.331301813565619,159.11403491423317,408.85468648155774,278.6530588843298,5226.735769775606
55,0.25,0.25,100,0.03,mlp,116.37280951041306,5.331301813565619,25.201012796191748,207.54460622463438,111.04150769684745,2082.8216368148546
56,0.25,0.25,100,0.05,poly,134.2449392568293,5.579616549489645,24.84417707730988,243.6457014363487,128.66532270733964,2305.9886206536607
57,0.25,0.25,100,0.05,random forest,240.50761707693226,5.579616549489645,126.20727558998693,354.8079585638776,234.9280005274426,4210.468558971691
58,0.25,0.25,100,0.05,xgboost,284.0708426303108,5.579616549489645,159.19189726596994,408.9497879946516,278.49122608082115,4991.225178481021
59,0.25,0.25,100,0.05,mlp,121.86391535496126,5.579616549489645,30.33138642573998,213.39644428418256,116.28429880547162,2084.0912233674535
60,0.25,0.25,110,0.01,poly,122.74431309684992,1.7223055806601297,15.237344448739037,230.2512817449608,121.02200751618979,7026.7442012122
61,0.25,0.25,110,0.01,random forest,237.15208079540787,1.7223055806601297,122.10090301339866,352.20325857741705,235.42977521474774,13669.454355742817
62,0.25,0.25,110,0.01,xgboost,275.47895938359545,1.7223055806601297,150.7533954312844,400.2045233359065,273.7566538029353,15894.778306298535
63,0.25,0.25,110,0.01,mlp,125.57147485557833,1.7223055806601297,34.237207249933746,216.90574246122293,123.8491692749182,7190.894035624559
64,0.25,0.25,110,0.03,poly,122.78784502049609,1.838782939617722,15.273720880669089,230.3019691603231,120.94906208087838,6577.669363520598
65,0.25,0.25,110,0.03,random forest,233.19424695276427,1.838782939617722,118.99527760303086,347.3932163024977,231.35546401314656,12581.988826872885
66,0.25,0.25,110,0.03,xgboost,275.57222715363986,1.838782939617722,150.83617830531387,400.30827600196585,273.73344421402214,14886.664342825074
